transaction_id,amount,true_root_cause,action_taken,recovered,amount_recovered
txn_002775,150.42,bank_gateway_timeout,immediate_retry_naive,False,0.0
txn_003160,3287.09,risk_fraud_hold,immediate_retry_naive,False,0.0
txn_003319,893.79,network_technical_error,immediate_retry_naive,True,893.79
txn_002391,268.74,card_expired_invalid,immediate_retry_naive,False,0.0
txn_005523,741.55,risk_fraud_hold,immediate_retry_naive,False,0.0
txn_003810,1957.19,card_expired_invalid,immediate_retry_naive,False,0.0
txn_001083,526.84,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_004948,968.51,card_expired_invalid,immediate_retry_naive,False,0.0
txn_003034,2499.23,insufficient_funds,immediate_retry_naive,False,0.0
txn_005412,6916.12,network_technical_error,immediate_retry_naive,False,0.0
txn_003723,2779.16,bank_gateway_timeout,immediate_retry_naive,False,0.0
txn_001554,3832.37,bank_gateway_timeout,immediate_retry_naive,True,3832.37
txn_000421,973.42,insufficient_funds,immediate_retry_naive,False,0.0
txn_000663,1657.64,network_technical_error,immediate_retry_naive,True,1657.64
txn_003622,697.42,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_000669,401.79,insufficient_funds,immediate_retry_naive,False,0.0
txn_002202,388.33,bank_gateway_timeout,immediate_retry_naive,False,0.0
txn_002547,129.63,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_004591,420.87,risk_fraud_hold,immediate_retry_naive,False,0.0
txn_002012,549.68,insufficient_funds,immediate_retry_naive,False,0.0
txn_005479,438.29,bank_gateway_timeout,immediate_retry_naive,True,438.29
txn_005442,2001.91,card_expired_invalid,immediate_retry_naive,False,0.0
txn_002406,185.57,bank_gateway_timeout,immediate_retry_naive,True,185.57
txn_003106,2535.37,insufficient_funds,immediate_retry_naive,False,0.0
txn_003494,789.4,card_expired_invalid,immediate_retry_naive,False,0.0
txn_003408,1300.34,network_technical_error,immediate_retry_naive,True,1300.34
txn_003591,1513.98,bank_gateway_timeout,immediate_retry_naive,True,1513.98
txn_001058,344.19,bank_gateway_timeout,immediate_retry_naive,False,0.0
txn_003560,1248.53,network_technical_error,immediate_retry_naive,False,0.0
txn_004268,426.69,insufficient_funds,immediate_retry_naive,False,0.0
txn_001320,453.96,insufficient_funds,immediate_retry_naive,False,0.0
txn_005239,390.92,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_005555,335.19,bank_gateway_timeout,immediate_retry_naive,True,335.19
txn_003207,8118.08,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_001265,5526.84,card_expired_invalid,immediate_retry_naive,False,0.0
txn_005860,2121.29,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_003405,2118.79,risk_fraud_hold,immediate_retry_naive,False,0.0
txn_002049,729.1,bank_gateway_timeout,immediate_retry_naive,False,0.0
txn_003009,472.95,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_000707,308.59,card_expired_invalid,immediate_retry_naive,False,0.0
txn_003272,774.97,bank_gateway_timeout,immediate_retry_naive,True,774.97
txn_005197,427.22,insufficient_funds,immediate_retry_naive,False,0.0
txn_001328,1836.07,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_005989,1282.28,bank_gateway_timeout,immediate_retry_naive,False,0.0
txn_001078,1434.63,issuer_declined_generic,immediate_retry_naive,True,1434.63
txn_001383,402.04,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_001693,2215.48,issuer_declined_generic,immediate_retry_naive,True,2215.48
txn_005304,9232.4,issuer_declined_generic,immediate_retry_naive,True,9232.4
txn_003325,187.05,bank_gateway_timeout,immediate_retry_naive,True,187.05
txn_000500,413.8,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_002587,395.32,network_technical_error,immediate_retry_naive,True,395.32
txn_001842,659.02,insufficient_funds,immediate_retry_naive,False,0.0
txn_005628,765.17,risk_fraud_hold,immediate_retry_naive,True,765.17
txn_004326,784.77,issuer_declined_generic,immediate_retry_naive,False,0.0
txn_004655,257.22,insufficient_funds,immediate_retry_naive,False,0.0
txn_003917,870.52,risk_fraud_hold,immediate_retry_naive,False,0.0
txn_002641,433.12,insufficient_funds,immediate_retry_naive,False,0.0
txn_004048,584.38,insufficient_funds,immediate_retry_naive,False,0.0
txn_003959,1484.41,insufficient_funds,immediate_retry_naive,False,0.0
txn_004562,2579.54,card_expired_invalid,immediate_retry_naive,False,0.0
txn_004727,1064.63,insufficient_funds,immediate_retry_naive,False,0.0
txn_004941,583.79,issuer_declined_generic,immediate_retry_naive,False,0.0
